content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,review_without_stopwords
"tidak bisa dibuka di xiaomi pad 7. saat dibuka layarnya warna merah dan tertulis pesan ""oops... terjadi kesalahan"" ""tetap tenang! kami perbaiki dulu ya, sambil tunggu restart blu kamu dulu yuk"" ""jhgpshunssd"" edit : sudah mengikuti instruksi admin (balasan review ini), tetapi masih mendapatkan error yang sama. aplikasi blu tetap tidak bisa digunakan di xiaomi pad 7 saya, bagaimana ini? saya perlu transaksi menggunakan rekening blu saya.",1,0.0,0.0,Negative,"dibuka xiaomi pad 7. dibuka layarnya warna merah tertulis pesan ""oops... kesalahan"" ""tetap tenang! perbaiki ya, tunggu restart blu yuk"" ""jhgpshunssd"" edit : mengikuti instruksi admin (balasan review ini), error sama. aplikasi blu xiaomi pad 7 saya, ini? transaksi rekening blu saya."
"gak bisa dipakai, setiap kali klik transaksi, nutup sendiri app nya 😪😪😪😪",1,0.0,0.0,Negative,"dipakai, kali klik transaksi, nutup app 😪😪😪😪"
"what on earth is going on?! my phone got unpaired from my account, so i had to redo the registration process allover again: input phone number, pin, password, facial recognition, fingerprint. not to mention got blocked multiple times in the process. imagine this happens when you're in the middle of a transaction?! why users had to get all this trouble just because you updated your app? this never happened to bca account. once user's phone got paired with an account, it's paired forever! damn it",1,-0.0625,0.05,Negative,"earth going on?! phone got unpaired account, redo registration process allover again: input phone number, pin, password, facial recognition, fingerprint. mention got blocked multiple times process. imagine happens middle transaction?! users get trouble updated app? never happened bca account. user's phone got paired account, paired forever! damn"
"saya sangat suka karna reward nya banyak buat ga kena admin, tapi sering bgt ada trouble kalau mau scan qris. ini sangat mengganggu karna antrean panjang di belakang tp qris nya bermasalah, tolong perbaiki.",2,-0.2,0.2,Negative,"suka karna reward kena admin, bgt trouble scan qris. mengganggu karna antrean tp qris bermasalah, tolong perbaiki."
bang lama ni mau bayar pake qris. buka aplikasi 10 detik || masuk menu scan qris 7 detik || klik payment 7 detik || confirm pin 12 detik total habis 36 detik ni buat bayar. kasian yang antri di belakang saya bang,2,0.0,0.75,Negative,bang ni bayar pake qris. buka aplikasi 10 detik || masuk menu scan qris 7 detik || klik payment 7 detik || confirm pin 12 detik total habis 36 detik ni bayar. kasian antri bang
connection problem everytime use qris so stupid la,1,-0.7999999999999999,1.0,Negative,connection problem everytime use qris stupid la
"udah bagus sebenarnya tapi perlu waktu 10-30 detik hanya untuk login, terus mau bayar pakai qris di kasir malah ada gangguan, kadang mau transfer malah tiba-tiba force close, berat banget aplikasinya",2,0.0,0.0,Negative,"udah bagus 10-30 detik login, bayar pakai qris kasir gangguan, kadang transfer force close, berat banget aplikasinya"
aplikasi apaan ini masa harus non aktifkan accessibility baru bisa dibuka,1,0.0,0.0,Negative,aplikasi non aktifkan accessibility dibuka
"asli nyebelin bgt, tbtb ke logout, terus gw coba klik ayo mulai, terus udah tuh ngisi no telfon, udah di kasih kode lewat sms, udah gw isi tuh kode, eh malah ada kata2 katanya jaringan terputus, mbak/ mas aku udah nyobain bbrp kali, ttp wja ga bisa, udah ganti dari wifi ke data trs coba hotspot, ttp aja, buka app yg lain aman aja tuh, udah update malah saya, mau ngasih bukti ada kata2 jaringan terputus tp app not allowed ss, makasih banyak, semoga ada saran saya harus ngelapor kesiapa.",1,0.0,0.0,Negative,"asli nyebelin bgt, tbtb logout, gw coba klik ayo mulai, udah tuh ngisi telfon, udah kasih kode sms, udah gw isi tuh kode, eh kata2 jaringan terputus, mbak/ mas udah nyobain bbrp kali, ttp wja bisa, udah ganti wifi data trs coba hotspot, ttp aja, buka app aman tuh, udah update saya, ngasih bukti kata2 jaringan terputus tp app allowed ss, makasih banyak, semoga saran ngelapor kesiapa."
mau login aja ribet,1,0.0,0.0,Negative,login ribet
"saya sudah 3 kali install uninstall, puluhan kali proses verifikasi wajah dan nggak berhasil, minta diulang melulu. sepertinya technologynya nggak mature. jadi males install blu. gmn dong? biar coba sendiri kali ya betapa susahnya verifikasi wajah di blu",2,0.1,0.1,Negative,"3 kali install uninstall, puluhan kali proses verifikasi wajah nggak berhasil, diulang melulu. technologynya nggak mature. males install blu. gmn dong? biar coba kali ya betapa susahnya verifikasi wajah blu"
"menyusahkan, saya sudah sampai 5 kali verifikasi wajah gagal terus, hadap depan hadap depan aja, udh hadap depan masih aja minta hadap depan dan tiba2 proses verifikasi wajah terlalu lama.. ulangi lagi.. lagi.. dan lagi.. dan tetap tidak bisa login, sekalinya bisa, saat lupa pasword proses di mulai lagi dari awal, terus apa gunanya lupa pasword udh verifikasi wajah, dan mau login setelah proses lupa pasword selesai, eh verifikasi wajah lagi, dan sistem pengelanan wajah ini tidak bisa mendeteksi.",3,0.0,0.0,Neutral,"menyusahkan, 5 kali verifikasi wajah gagal terus, hadap hadap aja, udh hadap hadap tiba2 proses verifikasi wajah lama.. ulangi lagi.. lagi.. lagi.. login, sekalinya bisa, lupa pasword proses awal, gunanya lupa pasword udh verifikasi wajah, login proses lupa pasword selesai, eh verifikasi wajah lagi, sistem pengelanan wajah mendeteksi."
tolong inimah v3 update ui/ux dan performanya ditingkatin. gak ada update yang signifikan dari v1,5,0.0,0.0,Positive,tolong inimah v3 update ui/ux performanya ditingkatin. update signifikan v1
aplikasi aneh ga jelas. saya nasabah bca aktif tapi ditolak bergabung dengan alasan tidak memenuhi kriteria. jadi kenapa saya bisa jadi nasabah bca selama 15 tahun? pakai logika saja kalau bilang data saya tidak sesuai. data saya sudah diisi sesuai ktp dan bahkan bisa mereka kroscek sendiri dengan database bca. nampak jelas timnya tidak kompeten,1,0.0,0.0,Negative,aplikasi aneh jelas. nasabah bca aktif ditolak bergabung alasan memenuhi kriteria. nasabah bca 15 tahun? pakai logika bilang data sesuai. data diisi sesuai ktp kroscek database bca. nampak timnya kompeten
"tbtb logout, abis itu di suruh ngisi no telfon, udah ngisi kode, tp ada peringatan jaringan putus 🗿 bro, gw aja buka app yang laen aman aja.",1,0.0,0.0,Negative,"tbtb logout, abis suruh ngisi telfon, udah ngisi kode, tp peringatan jaringan putus 🗿 bro, gw buka app laen aman aja."
"setiap keluar akun, pas mau masuk lagi malah ngulang dari awal daftar. uninstal aja seklaian",1,0.0,0.0,Negative,"akun, pas masuk ngulang daftar. uninstal seklaian"
appnya ngefreeze 😭😭,1,0.0,0.0,Negative,appnya ngefreeze 😭😭
susah buat download e-statement csv. seharusnya setelah download berhasil membuka file manager malah membuka text editor yang akhirnya tidak benar² menyimpan file.,4,0.0,0.0,Positive,susah download e-statement csv. download berhasil membuka file manager membuka text editor benar² menyimpan file.
"ni emg setiap saat kayanya lemot bgt dah, mau bayar pake qris aja ya tuhan bikin antri saking lambatnya",1,0.0,0.0,Negative,"ni emg kayanya lemot bgt dah, bayar pake qris ya tuhan bikin antri saking lambatnya"
"the app is extremely slow, even logging in takes too long. as customers, we expect a digital bank to be modern and easy to use, but blu is neither. i now prefer using mybca or bca mobile because the blu app slows me down when making transactions. the customer service is also unhelpful, they keep telling me to update the app and check my internet connection, which doesn’t make sense since other banking apps work fine and are much faster.",1,0.06882716049382716,0.36635802469135803,Negative,"app extremely slow, even logging takes long. customers, expect digital bank modern easy use, blu neither. prefer using mybca bca mobile blu app slows making transactions. customer service also unhelpful, keep telling update app check internet connection, doesn’t make sense since banking apps work fine much faster."
untuk login saja susah. verifikasi wajah juga sulit. bahkan 1 bintang saja terlalu bagus,1,0.0,0.0,Negative,login susah. verifikasi wajah sulit. 1 bintang bagus
"qris nya lambat, kurang responsif.",1,0.0,0.0,Negative,"qris lambat, responsif."
aplikasinya berat dibandingkan dengan aplikasi mobile banking lain,4,0.0,0.0,Positive,aplikasinya berat dibandingkan aplikasi mobile banking
"login bisa, setelah itu muter2 loading mulu ga bisa pilih menu, apa yang mau diharapkan lagi? lelah hayati",3,0.0,0.0,Neutral,"login bisa, muter2 loading mulu pilih menu, diharapkan lagi? lelah hayati"
"jelek banget!!! lambat, lemot, berat rasanya padahal buka qris doang, rugi deh ga ada manfaatnya untuk finsncial saya nabung banyak bgt tapi gagal pakai layanan extracash tampa dikasiih tau alasannya kenapa, kalo emang tidak ada jangan di kasih produknya!!!. nyesel bgt pakai ini terpaksa karena dari bca aja. lemot lambat bikin nunggu lama ga worthhhhh!!!!!",1,0.0,0.0,Negative,"jelek banget!!! lambat, lemot, berat buka qris doang, rugi deh manfaatnya finsncial nabung bgt gagal pakai layanan extracash tampa dikasiih tau alasannya kenapa, kalo emang kasih produknya!!!. nyesel bgt pakai terpaksa bca aja. lemot lambat bikin nunggu worthhhhh!!!!!"
"wah blu luar biasa, begitu buka blu jadi semakin sabar untuk menunggu login dan juga transaksi, terima kasih buat pelajaran sabarnya melalui aplikasinya 👍",1,0.0,0.0,Negative,"blu biasa, buka blu sabar menunggu login transaksi, terima kasih pelajaran sabarnya aplikasinya 👍"
entah aplikasi nya terlalu berat atau kurang optimal bahkan untuk samsung s23 fe saya yg sudah termasuk hp kelas atas,3,0.0,0.0,Neutral,aplikasi berat optimal samsung s23 fe hp kelas
"apk gajelas dikit"" blokir, akses masuk susah maintenance, dongoooo",1,0.0,0.0,Negative,"apk gajelas dikit"" blokir, akses masuk susah maintenance, dongoooo"
"update 7/11/2022. kenapa error terus login? dari tadi tidak ada koneksi terus? internet tidak ada masalah update 01/02/2026 bug ketika cek notifikasi, loading terus.",1,0.0,0.0,Negative,"update 7/11/2022. error login? koneksi terus? internet update 01/02/2026 bug cek notifikasi, loading terus."
"the app is suck, too many crash and very slow",1,0.054999999999999966,0.51,Negative,"app suck, many crash slow"
login issuenya parah. horrible customer journey experience,1,-1.0,1.0,Negative,login issuenya parah. horrible customer journey experience
lambat betul.,1,0.0,0.0,Negative,lambat betul.
"nice app display but application function is not optimal, application is heavy and slow it must be improved immediately",3,0.033333333333333305,0.6333333333333333,Neutral,"nice app display application function optimal, application heavy slow must improved immediately"
aplikasinya sekarang lemot banget. bayar pake qris di mall jadi susah🤧,3,0.0,0.0,Neutral,aplikasinya lemot banget. bayar pake qris mall susah🤧
"fitur auto buka aplikasi ketika mau bayar cukup merepotkan, bukannya mempercepat malah memperlambat karena nge-hang dll",4,0.0,0.0,Positive,"fitur auto buka aplikasi bayar merepotkan, mempercepat memperlambat nge-hang dll"
"nih hadiahnya kalau menyulitkan user, ganti it mu blu",1,0.0,0.0,Negative,"nih hadiahnya menyulitkan user, ganti mu blu"
"bank blunder perlu add satu fitur yang dari tahun 2021 (pas app ini rilis) udah saya wanti2: swipe! app ini kan punya tiga slide di home screen. ya harus bisa swipe dong. terus satu request receh yg gampang sebenarnya: buka blokir va aplikasi tring pegadaian dong. minimal kalo ga jualan emas, akses buat beli emas dipermudah lah. cust journey terlalu jauh kalo sampe harus top up dulu ke ovo terus beli emas pake ovo.",3,0.2,0.55,Neutral,"bank blunder add fitur 2021 (pas app rilis) udah wanti2: swipe! app slide home screen. ya swipe dong. request receh gampang sebenarnya: buka blokir va aplikasi tring pegadaian dong. minimal kalo jualan emas, akses beli emas dipermudah lah. cust journey kalo sampe top ovo beli emas pake ovo."
good apps,5,0.7,0.6000000000000001,Positive,good apps
"fitur appsnya bagus, tapi lemotnya ampun. mau bayar ditunggu pedagangnya bisa lama banget buat loading",2,0.0,0.0,Negative,"fitur appsnya bagus, lemotnya ampun. bayar ditunggu pedagangnya banget loading"
"jujur dan terus terang, aplikasi ini terasa lambat sekali dan cukup menjengkelkan.",1,0.0,0.0,Negative,"jujur terang, aplikasi lambat menjengkelkan."
ui ux tolong di upgrade donk jadi lebih ringan dan simpel,3,0.0,0.0,Neutral,ui ux tolong upgrade donk ringan simpel
"well aplikaai bank digital yg aneh, masa calon customer yg harus telpon tim haloblu nya. yg perlu siapa, yg telpon siapa. apa arti digital kalo masih perlu telpon juga. mana sudah kirim data dan ktp, gimana ya cara hapus datanya ya?. kalah sama bank jago, gak sampe 5 menit selesai dan gak perlu telpon sana sini, langsung aktif. bank digital blu by bca aneh banget dan yang pasti gak cocok buat saya",1,0.0,0.0,Negative,"well aplikaai bank digital aneh, calon customer telpon tim haloblu nya. siapa, telpon siapa. arti digital kalo telpon juga. kirim data ktp, gimana ya hapus datanya ya?. kalah bank jago, sampe 5 menit selesai telpon sini, langsung aktif. bank digital blu bca aneh banget cocok"
"app jelek, sering gangguan jadi deg2an kalo naro uang disini",2,0.0,0.0,Negative,"app jelek, gangguan deg2an kalo naro uang"
"susah banget dibuka aplikasinya, padahal buka mybca lancar-lancar aja",1,0.0,0.0,Negative,"susah banget dibuka aplikasinya, buka mybca lancar-lancar"
setelah update terakhir aplikasi ga bisa dibuka sama sekali,1,0.0,0.0,Negative,update aplikasi dibuka
vermuknya ribet banget. udah hadpe depan masih aja perintah hadep depan hadep depan. ribet kntllll,1,0.0,0.0,Negative,vermuknya ribet banget. udah hadpe perintah hadep hadep depan. ribet kntllll
berat aplikasi lu lama2 buka kantong aj lama bener,1,0.0,0.0,Negative,berat aplikasi lu lama2 buka kantong aj bener
"jelek bgt aplikasinya, qr sering lemot dan error pdhl koneksi 3d. aplikasi lain qr nya lancar2 aja.",1,0.0,0.0,Negative,"jelek bgt aplikasinya, qr lemot error pdhl koneksi 3d. aplikasi qr lancar2 aja."
"semuanya bagus, fiturnya cukup untung kebutuhan savings. sayang tidak bisa untuk bayar tagihan cc bca, tapi cc bank lain malah bisa, padahal by bca digital. *tambahan: akhir² ini login dan loading sangat lambat sekali, mau login aja terkadang nunggu bisa 5 menit. sampe kadang stlh login lupa mau ngapain.",1,0.0,0.0,Negative,"bagus, fiturnya untung kebutuhan savings. sayang bayar tagihan cc bca, cc bank bisa, bca digital. *tambahan: akhir² login loading lambat sekali, login terkadang nunggu 5 menit. sampe kadang stlh login lupa ngapain."
"several times updated the apps not working properly, always i couldn't log in in to my account, always showing your session finish, please fix the bugs",1,0.0,0.05,Negative,"several times updated apps working properly, always log account, always showing session finish, please fix bugs"
aplikasi prank gak bisa buat akun baru,1,0.0,0.0,Negative,aplikasi prank akun
aplikasi ga responsif,1,0.0,0.0,Negative,aplikasi responsif
whydoes it lag so much it's so slow,3,-0.30000000000000004,0.39999999999999997,Neutral,whydoes lag much slow
aplikasi lelet banget tolol,1,0.0,0.0,Negative,aplikasi lelet banget tolol
bank digital paling lemooottttt,1,0.0,0.0,Negative,bank digital lemooottttt
the best banking app with intuitive user expirience,5,1.0,0.3,Positive,best banking app intuitive user expirience
"sudah dua kali ngirim keluhan tidak ada perbaikan dari tanggal 17 november gak bisa di pakek ini aplikasi, aplikasi ini doang yang gak bisa di akses aplikasi bank lain bisa tapi jawabannya karena hp saya di root!? (akhirnya bisa login, namun komen di atas tetap ada sebagai pengingat aja pernah gak bisa login selama 2 bulan) terimakasih lo team dev blu bintang 3 dulu ya",3,0.0,0.0,Neutral,"kali ngirim keluhan perbaikan tanggal 17 november pakek aplikasi, aplikasi doang akses aplikasi bank jawabannya hp root!? (akhirnya login, komen pengingat login 2 bulan) terimakasih lo team dev blu bintang 3 ya"
"semuanya bagus. tapi, lemot parah. udah update juga tetap sama. beda sama mbank lain lancar jaya. tolong diperbaiki",4,0.0,0.0,Positive,"bagus. tapi, lemot parah. udah update sama. beda mbank lancar jaya. tolong diperbaiki"
"lelet dan berat banget. loading lama dan proses menggunakan pin di mana-mana, padahal sudah registrasi biometrik.",1,0.0,0.0,Negative,"lelet berat banget. loading proses pin mana-mana, registrasi biometrik."
gabisa verif wajah. disuruh hadap kedepan terus2an sampe batas waktu,1,0.0,0.0,Negative,gabisa verif wajah. disuruh hadap kedepan terus2an sampe batas
layanan customer service sangat buruk,1,0.0,0.0,Negative,layanan customer service buruk
"tolong banget aplikasinya di bikin agak ringan dan sat set, jaringan ga stabil lemot bgt, loadingnya suka lama jadinya ga enak kalau antrian lagi rame, dibikin sat set lah ya biar makin suka",4,0.0,0.0,Positive,"tolong banget aplikasinya bikin ringan sat set, jaringan stabil lemot bgt, loadingnya suka enak antrian rame, dibikin sat set ya biar suka"
aplikasi nya lemot bahkan untuk sekedar login bisa lebih dari 5 detik. beda dengan mybca ataupun bca mobile yang satset.,2,0.0,0.0,Negative,aplikasi lemot sekedar login 5 detik. beda mybca bca mobile satset.
"lemot bgt, dari buka aplikasi, transfer, qris, topuop, the real lemot",3,0.2,0.30000000000000004,Neutral,"lemot bgt, buka aplikasi, transfer, qris, topuop, real lemot"
sangat buruk. kirim kode verifikasi berkali2 tp tidak bisa. tdk bisa dipakai saat dibutuhkan,1,0.0,0.0,Negative,buruk. kirim kode verifikasi berkali2 tp bisa. tdk dipakai dibutuhkan
"aplikasinya sangat berjalan lambat, untuk bayar qris saja hampir membutuhkan waktu 1 menit padahal internet stabil. dan sering banget tiba-tiba aplikasinya ngefreeze jadinya harus login ulang",2,0.0,0.0,Negative,"aplikasinya berjalan lambat, bayar qris membutuhkan 1 menit internet stabil. banget aplikasinya ngefreeze login ulang"
"tidak bisa memasukkan nomor kartu atm, mau lanjut tidak bisa juga",1,0.0,0.0,Negative,"memasukkan nomor kartu atm,"
"aplikasinya lambat banget, nunggu 1 menit setiap mencet tombol apapun",1,0.0,0.0,Negative,"aplikasinya lambat banget, nunggu 1 menit mencet tombol apapun"
aplikasinya tiap mau login pakai otp selalu keputus. udah diulang beberapa kali juga masih tetap gagal,2,0.0,0.0,Negative,aplikasinya login pakai otp keputus. udah diulang kali gagal
untuk aplikasinya lebih berat jika dibanding dengan aplikasi mobile banking lainnya mungkin bs coba di tunning kembali agar user nyaman mengunakannya,5,0.0,0.0,Positive,aplikasinya berat dibanding aplikasi mobile banking bs coba tunning user nyaman mengunakannya
"cashback ga masuk². udah bikin laporan yg katanya 1 hari kerja, tapi udah mau 2 minggu masih ga ada kejelasan. telpon via halobca bbrp x jawaban selalu sama, tunggu aja sampe waktu yg mereka sendiri ga tau kapan. bad, so bad 👎🏼👎🏼👎🏼",2,-0.6999999999999998,0.6666666666666666,Negative,"cashback masuk². udah bikin laporan 1 kerja, udah 2 minggu kejelasan. telpon via halobca bbrp x sama, tunggu sampe tau kapan. bad, bad 👎🏼👎🏼👎🏼"
"ui nya sangat mudah dipahami, sejauh ini tidak pernah ada trouble, proses penanganan ketika ada masalah lalu lapor ke email juga cepat 👍🏻",5,-0.2,0.2,Positive,"ui mudah dipahami, trouble, proses penanganan lapor email cepat 👍🏻"
mau bayar qris malah ke logout. mana loginnya lama banget sialan,1,0.0,0.0,Negative,bayar qris logout. loginnya banget sialan
"sebenarnya fiturnya sudah cukup bagus, cuma saya rasa aplikasinya masih agak terlalu berat. hp saya yang flagship saja butuh beberapa detik untuk membuka tiap screen aplikasinya. dari loadingnya, dll itu masih kurang efektif dan efisien. masih lebih lancar bca atau aplikasi bank lain yang lebih ringan! tolong dong dibenerin! karena kita gak butuh yang wah, yang penting fitur lengkap dan loading cepat, itu sudah cukup!",3,0.0,0.0,Neutral,"fiturnya bagus, aplikasinya berat. hp flagship butuh detik membuka screen aplikasinya. loadingnya, dll efektif efisien. lancar bca aplikasi bank ringan! tolong dibenerin! butuh wah, fitur lengkap loading cepat, cukup!"
one of the best digital bank app in the market now,5,0.5,0.15,Positive,one best digital bank app market
proses pengenalan wajah/ biometrik is the worst!!!! ganti sistem atau gunakan yg lebih bagus spt bca kenapa.,1,-1.0,1.0,Negative,proses pengenalan wajah/ biometrik worst!!!! ganti sistem bagus spt bca kenapa.
"aplikasi cukup membantu, tapi sering terasa berat & lemot di momen penting. yang paling krusial, validasi transfer lemah. rekening tujuan salah/tidak valid tetap diproses sampai input pin & muncul status “berhasil”, lalu baru direfund beberapa menit kemudian. ini berisiko, terutama transaksi merchant karena saldo sudah terpotong. validasi seharusnya dilakukan sebelum pin, bukan setelahnya.",3,0.0,0.0,Neutral,"aplikasi membantu, berat & lemot momen penting. krusial, validasi transfer lemah. rekening tujuan salah/tidak valid diproses input pin & muncul status “berhasil”, direfund menit kemudian. berisiko, transaksi merchant saldo terpotong. validasi pin, setelahnya."
makin lemot. gabisa² login dah nyoba lebih dari sejam,1,0.0,0.0,Negative,lemot. gabisa² login dah nyoba sejam
"aplikasi jelek, berat, sering crash waktu lagi di butuhkan.",1,0.0,0.0,Negative,"aplikasi jelek, berat, crash butuhkan."
"ga bisa login, suruh matiin fitur aksesibilitas, udh dimatiin tetep aja ga bisa",1,0.0,0.0,Negative,"login, suruh matiin fitur aksesibilitas, udh dimatiin tetep"
"the face recognition feature when registering is so bad, failed multiple times despite i have ensure the camera quality, lighting, etc. end up in uninstalling the app.",1,-0.3999999999999999,0.3222222222222222,Negative,"face recognition feature registering bad, failed multiple times despite ensure camera quality, lighting, etc. end uninstalling app."
"bca saya akui bagus. tapi pas saya ada trouble, saya dipingppong2 semua ai bca disuruh kontak ke sesama call center/wa/aplikasi/email. solusi = nihil! catat halo bca wa, halo bca app, blu email, blu wa. nihil ai kalian semuanya.",1,-0.25,0.2,Negative,"bca akui bagus. pas trouble, dipingppong2 ai bca disuruh kontak call center/wa/aplikasi/email. solusi = nihil! catat halo bca wa, halo bca app, blu email, blu wa. nihil ai semuanya."
"i was at the last step for account opening which is call with customer service for verification, however the call is always dropped due to bug with this application.",1,-0.0625,0.22083333333333333,Negative,"last step account opening call customer service verification, however call always dropped due bug application."
haduhhh lemot banget apps nya,2,0.0,0.0,Negative,haduhhh lemot banget apps
"aku bukan tipe yg banyak komplain. aku suka pake blu, tapi kenapa aplikasinya setiap loading itu rasanya kaya setahun? lama banget. udh setahun lebih aku pakai tp kenapa gaada perubahan? okay uinya diupgrade jd lebih baik, tp processingnya lama banget ahhhh aku kesel tiap buka tuh malah kelogout sendiri, suruh login dr awal lagi masukin notelp lagi, kode verif lagi. plis lah, benerin aplikasinya. masa masih gini gini aja, benerin lah.",1,0.5,0.5,Negative,"tipe komplain. suka pake blu, aplikasinya loading kaya setahun? banget. udh setahun pakai tp gaada perubahan? okay uinya diupgrade jd baik, tp processingnya banget ahhhh kesel buka tuh kelogout sendiri, suruh login dr masukin notelp lagi, kode verif lagi. plis lah, benerin aplikasinya. gini gini aja, benerin lah."
