final_content,sentiment
plis lambat lambat aplikasi sebel kasih bintang biar developer semangat,positif
lancar jaya,positif
pakai mudah bertransaksigampang mengunakanyapokoknya the best,positif
bagus banget blue bantu buka finansial,positif
jujur males bikin akun info casback kenang bayar pakai isi bayar cashbacknya gada,negatif
tipu tarik tunai atm uang saldo potong,negatif
transaksi mudah praktis cepat,positif
snagat bagus,positif
terima kasih k,positif
oke kadang lambat,positif
baik,positif
bagus fre transfer cocok dana paspasan,positif
tawar pnjaman gilir aju diac hpus aj mnding shopepay,negatif
oke,positif
simple cepat mudah bagus tabung,positif
oke aman terimakasih respon cepat,positif
god job,positif
god,positif
susah bangat verifikasi wajah,negatif
sesuai ekspektasi enak bawa kmna,positif
bagus,positif
lambat kadang,positif
ajar nabung konsisten blusaving tabung nabung blusaving untung,positif
mudah transaksi aman percaya,positif
ok,positif
baik,positif
pilih masuk akun,negatif
bagus,positif
oke,positif
bagus,positif
okegh,positif
bagus,positif
aduh berat aplikasi ayo kelas usaha aplikasi,positif
ac vidio cal suruh nungu jam ac buruk beda ac cepet lambat admin cs kerja banget,negatif
versi,positif
gimanasih daftar jg nasabah masukin no rekurang masukin no tlfn menu gabisa klik tolong baik hadeh,negatif
bagus ringan my rame atur,positif
untung gunung,positif
bagus,positif
uninstal tolong jaga data,positif
bantu tabung,positif
maf kak izin saran bai qyboar sandi akses baca layar aksesibilitas talkback baru april akses baca layar aksesibilitas talkback guna disabilitas tunanetra,positif
bagus sih nabung,positif
bagus,positif
bgs,positif
cangih emang group,positif
oke bingits,positif
cpt bantu transfer uang,positif
jelak cs ngak profesional,negatif
sumpah csnya banget sih tolak terus tlp saya habis pulsa gara gara csnya balas,negatif
the best,positif
bug transaksi hasil si terima terima,positif
buruk lot ampun beda cek saldo kena biayatransfer kena biaya biaya lupa transaksi nungu lebij menit pakai menit x transaksi pikir blubca krena anak usaha sytemnya ter tidakdari pakai syariahbca konvesianal super lambat bikin emosi,negatif
ux responsif nyaman rasa lambat banget rasa berat banget pakai,negatif
saran member blugather tarik data operator utama notif muncul,positif
animasi oke stabil keren so fast,positif
kode referal ka,positif
suka promo cashback,positif
neng mudah promo,positif
lambat banget,negatif
bagus,positif
kendala,positif
enak dipakenya misahin uang kepake voucher promo,positif
bagus,positif
gratis tf bifast gratis terima kasih,positif
mudah,positif
baru bikin memori penuh lambat kalo buka bunga nabung,negatif
valas negeri negeri asean timur sedia harap hadir baru,negatif
bagus blue maju,positif
ui uxnya gak responsif,positif
maf saldo ku april kurang pemberitahuan,positif
ngelek,negatif
bagus transaksi cepat,positif
transfer kena chargesama produk bcastaga,negatif
mudah pengunan,positif
narik atm eh kena potong biaya k k pdhl bcaharusnya gratisaneh,negatif
bagus,positif
bagus,positif
nungu verifikasi via video cal antri menit pas gilir sekali hasil conect tolak rekening alas wali hasil emang hubung wali hasil transaksi wali transaksi doang,negatif
gampang dipakaitransaksi amanmohon tambah menu investasi emas udara indonesia,positif
alhamdulilah sya negri bikin rekening pulang konoha bagus dapet kartu fisik virtual plus logo mastercard pham logo sngt negri,positif
pinjam muncul,negatif
capek verifikasisdh x verifikasi gagal,negatif
mantap sip,positif
tf nominal terima beda notifikasi nominal saldo masuk beda uang tilep mana untung tau mana uang admin transaksi yaudah ikhlasin,negatif
lambat,negatif
bantu mana beradahebat,positif
baik bug log in baik lancar transaksi tolong maintenance sistem notif nasabah email,negatif
kesel banget verifikasi ngulang ganti sandi verifikasi wajah ganti data verifikasi wajah ujug gagal mboh,negatif
bantu vepat transaksi piliah cashback,positif
enjoy your live blue,positif
lambat daftar susah kali rekomendasi download lambat kali,negatif
gagunana daftar sulit notif koneksi putus geblek pakai nomer akta lahir lahir cma sampe emosi buang,negatif
oke,positif
coba moga lancar,positif
mu masuk susah,negatif
easy to use and practicaly,positif
bagus bangetpraktis,positif
bagus,positif
gajelas pindah hp verifikasi wajah gagal,negatif
upgrad masuk ribet gimanatransaksi adminya mahal,positif
i love it,positif
trimakasih gift spesial,positif
sip,positif
keren pokok,positif
kren,positif
setor tunai tulis gratis pakai blubreward kode transaksi tulis biaya admin gratis riwayat masuk ful rekening potong aneh bin ajaib riwayat potong,negatif
vidio cal ruwet hapus modwes wegah bela bain vc ac,negatif
ok,positif
bug,negatif
bagus,positif
puas,positif
coba pakai biar balance konvensional trnyata daftar biaya k saldo rupiah coba isi k k transparan mutasi kartu jg brbayar ribet konvensional pakai konvensional biaya apa mudah stabil nyaman ragu pakai tolong perbaikin sistem nasabah nyaman,negatif
ok,positif
bagus,positif
bagus transfer my mobile gratis,positif
mohon optimalisasi open pas buka sidik jari harus tungu terima kasih device infinix note pro,positif
orang ktp buka rekening remaja umur buka rekening banga program tens remaja melek finansial terima kasih,positif
buka rekening susah kali kali tutup sambung,negatif
lambat,negatif
transaksi cepat,positif
enak kirim gratis,positif
bagus,positif
bagus,positif
mudah memuaskab,positif
bagus mana diskon,positif
ok bagus puas,positif
layan,positif
ok,positif
praktis nyaman,positif
email daftar opsi masuk email daftar ikut tahap klik yuk masuk nomor ponsel masuk email email daftar tahap tiga email daftar opsi masuk email,negatif
fitur oke bantu transaksi,positif
ok,positif
beli pulsa rb saldo potong pulsa masuk,negatif
bagus dn guna layan setor tunai gratis kuota terima kasih,positif
mantabs bantu,positif
oke,positif
praktis suka banget,positif
suka pokonyamantul,positif
easy and fast,positif
berat device optimalisasi redmi note,positif
buruk banget aplikasi wkwk daftar sulit daftar foto selfie nungu lambat eror gabisa,negatif
bantu mudah ok banget,positif
sepi promo lambat,negatif
god,positif
mantap,positif
bagus banget aplikasi mudah transaksi dimanapunhanya bingung virtualact market place sedia virtact,positif
god,positif
ribet isi ujung tp telp hah,negatif
praktis,positif
mudah menang bagus,positif
gabisa kenal wajah,negatif
ini kenapa coba first time bikin masuk besok suruh masukin no telpon pw salahin mulu sampe blokir akun kirim otp gada otp masuk terus nungu otp gada masuk,negatif
nice,positif
puas awal emang bnyk kena bayar admin pas langan bnyk bonus bebas biaya admin bagus,positif
god,positif
mudah cepet,positif
senang pakai fre transfer fre bagus up ewalet,positif
qris responsif enak dipake scan cepet eh aplikasi lambat banget hadeh tambah nambah saldo status stak ganti ganti benefitnya pakai duh sih pdahal bain pakai logo lambat banget tolong baik biar kaya belah responsih lambat tks,negatif
halo tolong baik masuk sulit masuk wifi lancar,negatif
bagus,positif
benci banget aktivasi banget,negatif
ngeselin ngelek ngelek muluncok,negatif
ok,positif
ini gabisa d buka duit d tabungin plis kasih solusi,negatif
bikin emosi transaksi lot ampun,negatif
bintang sekolah rekening nabung,negatif
buruk lambat parah,negatif
busuk transfaran pinjam tuju eng ing eng situ bunga sunguh banget bunga mending guys,negatif
cepatnyaman,positif
diskon jarang pakai diskon blibli he perintah gaji barusan bos,negatif
baik,positif
god,positif
bagus manfat,positif
log out pas masuk ribetnya ampun ganti pasword muka nali layang duit baru balas saran pasti pakai sunglas dl ngatain orang bego pakai aneh muka ketemu layar mangap nengok gagal,negatif
face recognition sih gajelas hadap pakai tongkat selfie face recognition bilang stabil hphadap sih gajelas susah banget buka rekening,negatif
saran pakai sistem under riset pw face detec deteck sistem suruh jauh wajah jauh wajah suruh wajah hadap depan wajah hadap depan sunguh under sistem not recomended,negatif
sanagt bantu bwt ak kecil,positif
tf kena admin,negatif
bunga pinjam gila nyekek pinjol sih gol,negatif
susah buka yah,negatif
tambahin mata uang franc swis alias chf,positif
bintang mula,positif
lbh praktis gratis transaksi,positif
mudah milik rekening buka henti uang nonaktif tau solusi bisnis jalan,positif
bagus,positif
daftar gagal,negatif
kren,positif
blue,positif
puas,positif
baru mulu,negatif
bagus hp sya rusak ko buka hp ky msih nyambung hp rusk,positif
hati hati potong jejak tahu nasabah setor tunai atm main potong pemberitahuan nasabah bujuk download bilang gratis biaya potong apa main potong tahu nasabah lbh pikir ulang pakai,negatif
wow,positif
kurang transparansi tambah atur langsung dampak guna contoh saldo endap kecut pemberitahuan langsung via sembunyi salah poin email bahas sekian tema,negatif
god proyek,positif
sampahberat banget,negatif
terimakasih pelayananya baik,positif
gangu mulu,negatif
lancar,positif
payah guna transaksi juta bulan ajuin pinjam tolak sampe nungu pas ajuin tolak kayak bang gampang pinjam,negatif
awam mohon jelas transfer saldo k masuk k ya terima kasih,positif
halo kakmohon info setor d minimalmohon info terima kasihsaya kasih bintang,positif
moga berkah,positif
lambat nyusahin,negatif
buruk lambat,negatif
bagus,positif
baru pdhl urgent pakai lama hadeh,negatif
daftar bagus suka moga kenceng lambat,positif
kl transaksi buka rek blue bcaterus pinjam,negatif
lemotperbaiki,negatif
overal suka layan aplikasi face recognitionya super buruk kanan kiri ngucapin a hadap akhir gagal gilir selesai proses kendala,negatif
reset pasword,negatif
kali coba,positif
masuk lupa pasword ikutin syarat pasword tingal klik cek tibatiba menu utama berulangulang,negatif
bagus,positif
bagus,positif
transaksi pakai qris masuk merchant ulang kali gagal cek bayar masuk merchant masuk folow up tim kait tungu sampe jelas minimal kasih info kek email hasil apa minimal info,negatif
lambat instal ulang ubah,negatif
baik aplikasi buka,negatif
bagus,positif
dasar aneh frifikasi wajah gagal dahal kiri hadap kanan gagal buruk bangt si beda mo masuk susah banget ribet,negatif
tingkat aman kualitas nasabah senang banga by,positif
maksa baru buka baru gilir dij baru eror perangkat kompatibel versi baru,negatif
baru langsung uninstal download,negatif
bagus,positif
so far aman pakai pd buka rek adm gratiskrg kena adm rp,positif
ok,positif
cpet transaksi n smoga spt,positif
bagus,positif
bagus sat set,positif
bagus,positif
akun habis baru akun blokir pas ulang gagal moga uang aman hangus,negatif
daptar blubybca gampang banget bikin transaksi transfer cepat terima kasih,positif
cepat,positif
best banget byk promo transaksi mudah cepat,positif
bagus,positif
ganguan akun blokir sih geting geting yah akun blokir reset pasword tolol sih ganti pasword tetep kayak kerjain bumbung tokocyto yah akun blokir reset pasword,negatif
lambat suka dikit dikit baru terus,negatif
cocok,positif
buka hp gabisa sentuh,negatif
mtap,positif
user friendly,positif
bagus,positif
ok bro,positif
bagus,positif
bismilah alhamdulilah saldo kurang ribu riwayat atur endap apr via email info tlpn cs ubah alamat bantu moga amanah instal pakai nama ad real debit card aplikasi pakai animasi makhluk hidup useles mayoritas butuh cepat ui aneh simple is best hilang animasi ud lmyn baik stlh baru cm lambat gambar bikin berat da,positif
pemberitahuan saldo endap,negatif
nabung untung transaksi pakai lupa nabung biar berkah tawar special deh blue smart simple izi and mudah aplikasi download and tra this untung nyesel deh recomended,positif
bagus tolong tambahin fitur nama tuju bagus up ewalet tulis monor ewalet salah tulis tau nomor guna andal fitur nama tuju ewalet,positif
bagus banget,positif
aman amanah,positif
bagus banget sih nabung pakai jamin aman gabakal sedot saldo hatihati pencet link gajelas,positif
muas,positif
muas,positif
terheranheran jaring bagus buka cepat gilir buka lemot banget rasa why,negatif
bintang,positif
please fix the ui and there are stil many bugs that ned to be fixed such as the not responding when opened sometimesand can not make transactions,negatif
aplikasi bagus uang jaga aman god job,positif
mudah,positif
cocok pakai bina,positif
waw,positif
ok ok pakai,positif
coba buka rekening terima koneksi internet coba kirim ulang berkalikali otp terima uninstal terima kasih,negatif
poko oke banget,positif
nice,positif
seru,positif
hai tolong baru lupa kasih fitur qris tap,positif
bagus aman,positif
zaman gital pasti aktf,positif
bagus,positif
bagus suka,positif
pakai saldo kurang korupsi,negatif
bantu,positif
pinjam lunasmo ajuin susah ti,negatif
bagus,positif
transaksi mudah aman cepat,positif
banyakin promonya suka banget,positif
lengkap,positif
oke,positif
baik,positif
puas performa senang nasabah by,positif
jospokok e,positif
mudah tabung aman,positif
gampang by bagus,positif
mudah guna sip,positif
oke diupdate aplikasi berat banget guna android jujur nasabah pakai potong pindah ringan mahasiswa eh pas suka baru gregetan kali baru gitu loh kalo baru fitur jgn guna pakai iphone tera woi klo baru ngosongin juang android storage ful,positif
suka lihat tampil nyatapi sayang kirain langsung pinjam uang kosong harap pinjam tarik bunga rendah debet langsung rekening,positif
bagus,positif
mudah,positif
mantul,positif
baru dipake pale,negatif
bagus,positif
beda kena admin,positif
ok,positif
bagus,positif
mudah pakai,positif
pelit yah suku bunga juta rupiah juni sama naik kaya adil kalo kalo juni juta rupiah kaya jenjang sosial sih tolong timbang naik suku bunga juni terimakasih,negatif
bagus,positif
kira kayak xixi beda yasoalnya tf kena tarif utama pas log in halaman fitur log in pinger print loh in pakai sandi harap baik kalo baik bintang terimakasih,positif
pgn nyoba instal ribet banget tahap salah tolong baik ny tarik guna sulit coba brp kli mlh daftar,negatif
bagus layan lengkap,positif
bagus bagus up,positif
bagus,positif
benerin aplikasi pls berat banget buka loading,negatif
cepat bagus pelayananyasemoga muas nasabah,positif
god,positif
njir make sih transformasi konvensional biaya admin saldo mengendapnyahm,negatif
susah loding buka,negatif
god,positif
baru mingu,negatif
ok,positif
senang nyaman,positif
worth it sekali,positif
koq kena admin yah ngambil tabung,positif
bagus,positif
kamera qris ngebug hitam kamera normal,negatif
oke terimakasih,positif
uang sedot hilang,negatif
buruk buka rekening penuh kreteria internal aneh sulit calon nasabah kecewa,negatif
bagus request blucard custon nama pilih,positif
enak si tf mana cuman kalo rang biaya tf hehe saran kak,positif
transfer saldo potong ribu transfer teman saldo terima ribu kuota gratis transfer transfer bayar ribu,positif
weldone,positif
mudah,positif
bantu,positif
mantab,positif
moga depa,positif
ac kali x utang,negatif
baru playstore tolong bantu solusi,negatif
bagus,positif
bagus bagus blue,positif
mantep banget,positif
baru guamah,negatif
saldo ribu besok ubah ribu cek mutasi gada,negatif
god,positif
duit potong masuk rek lambat buruk klo qris lambat nauzubilah mikir deh download tolong baik lapor uang masuk ribet banget,negatif
cepat fan peraktis,positif
bagus berat fast respon,positif
maksa nasabah baru gangu banget opsi lewat baru popup user konfirmasi baru nasabah lokasi jaring dukung ken transfer aplikasi maksa baru kayak gin depan pindahin dana,negatif
produk oke,positif
top,positif
coba recomend tabung moga baik ngak ad kendala,positif
aplikasi bagus masuk transaksi kasir lambat tungu alias loading,positif
berat isi ewalet masuk awal pakai bagus servernya baik upgrade,negatif
by mudah transaksi,positif
moga diskon,positif
baru lambat jujur bagus buruk buruk,negatif
ok,positif
pakai aman bantu,positif
sebenernya aplikasi lambat yah sisi baik nabung awet uang malas buka aplikasi aman banget bantu tabung kena biaya tambah produk dapet bunga layan oke cepat tangap salut banget pakai tetep puas aplikasi,positif
overal bagus tolong rangin baru kadang buru buru bayar tf buka baru,positif
kurang lambat banget bayar pakai qris sampe tatap kasir lambat banget,positif
bantu,positif
maf guna nilai manfat moga manfat langan produk nyaman terima kasih,positif
baru kemarin baru gabisa buka bayar,negatif
bagus banget,positif
lamalama pakai device jaring bagus berat bug,negatif
sunguh alam tabung transaksi senang mudah cepat,positif
layan coba buka rekening verifikasi video cal antri alamat nama habis ngobrol belah suara csnya kedengeran konfirmasi suara tetep ngomong coba verifikasi angkat langsung mati,negatif
bagus,positif
mudah cepat biaya ekonomis,positif
mudah pakai fasilitas tawar,positif
fiturnya oke banget lot loh tolong lambat banget,negatif
alhamdulilah insyalah aman amanahdan fiturfitur aman,positif
admin tari tolong rang dong klo kasih gratis kali tari,positif
bagus,positif
nice,positif
bagus moga depan,positif
sangat buruk daftar perlu usaha sulit buka rekening nama buka rekening mohon timbang kalo pakai moga jg baik sistem mudah guna,negatif
bagus,positif
tingkat layan kualitas baik by nasabah,positif
bagus interface bagus,positif
ribet lancar,positif
aman cepet transaksi,positif
berkalikali masuk ulang muka wajah hadap depan nama ktp terang jaring kenpa gagal gagal hadap kanan disuru coba terus coba maksud curi susah langan masuk ganti hp hp hp,negatif
god recomendation,positif
bagus banget,positif
kirim seabanm ribu blue kalo seabank kirim sepenuh transparansi nominal informasi nasabah detail next kalo gratis,negatif
by bagus,positif
senang mudah cepat,positif
bagus banget rekomendasi,positif
bagus tahan,positif
bagus,positif
stelah baru masuk,negatif
bagus,positif
kirain langsung limit,negatif
mudah rencana uang ku,positif
buruk sadar saldo ilang rupiah riwayat percaya mah sadar sadar,negatif
bagus,positif
mudah nyaman digunajan,positif
bonus sih mulu,positif
verifikasi wajah and tetep kedetect wajah ubah telpon cs via vc langsung masuk,positif
bantu mudah transaksi,positif
bagus,positif
susah banget daftar bejier amad,negatif
josjis,positif
mantap bos,positif
loading banget,negatif
masukin pasword sesi habis back,negatif
cepat mud,positif
god job,positif
bagus,positif
praktis dn mudah pakai syuka banget,positif
terbaik,positif
maf kasih bintang anehuntuk verifikasi wajah susahp jngn goyang lahsedangkan hp tarowajah jauh kakiakh smuanya ribetbalik lagisampe maf uninstal terimakasih,negatif
baik by,positif
set dah lambat kirim uang masukin rekening masuk et dah,negatif
admin bulan transfer fre,positif
muas,positif
god aplication,positif
masuk susah verifikasi wajah gagal kode otp wa kirim kirim nungu kode otp hari gilir kluarkan capai batas verifikasi wajah dana cepet jago cepetolong baik,negatif
seru banget mudah remaja dewasa,positif
mantabs,positif
baik,positif
love sekebon,positif
aplikasi banyak loading antarmuka masuk kacau sih,negatif
bagus lumayan tapi semoga bagus up e walet tera nama guna ya min biar aman juga,positif
mudah ber transakai,positif
puas,positif
kali bagus kendala,positif
god,positif
tolong setor tunai tarik tunai gratis kali,positif
bantu,positif
ok jos tenan,positif
aplikasia super bagus recomended,positif
lop,positif
tibatiba buka yah urgent loh,negatif
guna,positif
ok,positif
bagus bos jos,positif
bagus,positif
bagus cepat moga tahan maju,positif
god,positif
ribet buruk pakek vc mending kalo nasabah seribet,negatif
puas,positif
halo min dev apknya bagus mudah depan tingkat aman dn layan biar bagus,positif
bantu terima kasih,positif
banget verifikasi muka hp goyang suruh goyang klo gin aktifin blus dihp,negatif
oke,positif
nice,positif
oky,positif
baru masuk suruh daftar pasu no hp email sudh daftar login,negatif
bagus sih kaya pakai,positif
bagus,positif
bagus fiturnya bagus aplikasi,positif
ribet sih masuk bikin ribet jelas berat tele tele,negatif
ribet proses daftar,negatif
god,positif
baik lambat,positif
muas fitur,positif
mantapcepat akurat,positif
puas,positif
sangar puas,positif
bagus,positif
senang pakai transfer dana beli qiuris,positif
sahabat,positif
alhamdulilah senang inisegala mudah,positif
moga tabung aman,positif
atur keluar poket blusaving,positif
perangkat sih,negatif
the best banget,positif
mudah cepat ribet fitur bagus transaksi gada biaya operasional,positif
neng pol kenal blue digital mudah bayar saya,positif
top,positif
praktice simple satisfied,positif
simpel gampang cepet respon kendala,positif
amat buruk uang makan tuhan maha adil uang hapua susah alah sakit hati riset paswod susah amit sakit hati,negatif
gnti hp masuk pas verifikasi wajah gagal wajah nali maksud gimane operasi plastik,negatif
mudah fitur bantu tambah pocket tabung spending kurang guna suka dihp android emang aplikasi berat,positif
rekomend butuh rekening online promo juga betah pakenya,positif
bagus,positif
mudah biaya,positif
bagus,positif
saldo nol biaya admin cocok anak ajar ajar nabung,positif
jos jis,positif
pinjem tolak,positif
pokok,positif
daftar nyampe lokasi nyala lokasi aneh,negatif
bagus,positif
bagus,positif
blue ok banget,positif
aplikasi kali bagus up saldo bni tap cash masuk,positif
paham paham,positif
daftar verifikasi wajah banget hp lurus tegak goyang pikir hp biduan dangdut goyang doyang,negatif
mudah digunakandan bantu,positif
enak akun hp android kelola uang pribadi,positif
oke banget anak rantau,positif
cs ramah bantu,negatif
payah lambat mo buka rekening sesi foto kali take hasil pdhl ikut instruksi,negatif
bagus lancar,positif
puas,positif
jawab template ngeselin,negatif
bagus gratis admin transfer gratis,positif
ok bagus,positif
ribet ngebug aplikasi,negatif
setor tunaitarik tunai adminya uang kl bagus aja kendala,positif
over al ok,positif
gacor dah pokok ui sistem dl mudah paham,positif
ubah layan dah oke banget klo upgrade oke,positif
bagus cepat proses transfer,positif
bagus cepat,positif
manthul dah jos,positif
bagus,positif
oke,positif
bagus cepat nol biaya bagus,positif
masuk susah kenal wajah gagal kali,negatif
bagus ribet,positif
bantu transaksi perban,positif
terimakasih bonus transfer ny bagus up e waletny,positif
aju tolak ya,positif
bagus ribet daftar transaksi,positif
baik,positif
bagus mudah biaya potong transfer rendah,positif
lambat tarik tunai masuk jaring lancar gajelas,negatif
sat set banget akun pakai antri love banget,positif
ok banget,positif
bagus sistem ribet mudah cepat,positif
bantu kerja tugas terima kasih,positif
guna simple mudah erti,positif
bagus,positif
bintang,positif
bantu bagus nabung biaya admin bulan,positif
bagus nyasenang pakai,positif
susah daftar coba kali kali jaring ku bagus,negatif
anjir tolak video cal hahaha kocak banget,negatif
bagus,positif
bagus,positif
hilangin pilih nomorekening cantik bikin bingung guna suruh bayar kirain deposit buka akun,negatif
bagus x,positif
cepat rapi,positif
moga tingkat,positif
pakai hp pas pindah hp masuk kak tolong solusi gagal verifikasi wajah sih masuk ulang pakai verifikasi wajah gagal bolak ngerepotin banget tolong dibantu ya narik uang bingung banget tolong,negatif
ok,positif
mbanking cangih penuh butuh terima kasih,positif
bagus,positif
uang bantu guna surprise bonus suka,positif
bagus transfer simpan dana,positif
mudah transaksi,positif
mantap men,positif
bagus cepet log kayak nungu menit,positif
suka mengunakn aman mudah cepat transaksi mana,positif
emang jos,positif
sanga ok,positif
bagus,positif
mantep banget moga depan banyak valas gratis transfer tarik tunai setor tunai bagus up dl kouta hehehe bagus,positif
lambat banget loading masuk bayar,negatif
ganti hp gabisa masuk coi wajah nali hubung halo ampe pulsa abis gada,negatif
bagus bagus i love,positif
dana ngirim nama nampak,positif
mudah cepat pakai,positif
coba tolong baik kualitas gambar struk transaksi kalo gambar kualitas png biar bagus,positif
bagus kali bosku,positif
iseng aply eh d ksh limit jt alhamdulilah yah,positif
bagus,positif
berat banget mulus kayak perban,negatif
bagus efektif,positif
pakai by jujur ngebantu bangetanpa kantor regist buka rekeningak ribet mudah regist buka rekening bludah tarik setor tunai atm bcamudahan depan maju aman dar saranlebih upgrade fiturnyatambah valuta asing myrkarna wni banyak malaysiabiar pakek belanja tarik tunai malaysiakarna bnyak blum sempet buka rekeningdan dana pinjamantrus upgrade aman mudah,positif
ok,positif
is the best,positif
daftar ribet aneh,negatif
mantap,positif
bagus bagus,positif
bantu,positif
bagus,positif
aplikasi lancar kaku gitu gerak discrol,negatif
mantep fitur,positif
bagus,positif
astagfirulahaladzim sgt uji sabar puluh kali cb masuk didevice br gagal pas wajah ps salah pin ps pental apknya smpe puluh puluh kali cb masuk tp gagal susah amt aktif didevice br tlg baik masalahny nominal rsny nyesek nang banget coba henti sholawat sgt sayang layan sgt reng kelas bismilah yuk msk lancar mudah amin yalah,negatif
lambat kali pakai mbanking lelet blue apa scan qris kadang ngulang kali proses masuk lambat banget tolong company tuh perhati mbanking,negatif
bingung internet bagus buka lambat banget gjls dah,negatif
baru apknya min biar masuk pakek nik masak pakek no hp sih kalo no hp mati cobak efisien,negatif
mudah pakai anak bawah,positif
mudah terperacaya,positif
bagus,positif
lambat nyebelin,negatif
ok,positif
segi guna nyaman suka harap tingkat lambat loading,positif
min tolong d saving fitur tranfer otomatis gaji uang acount langsung d taruh saving sesuai nominal d atur langsung otomatis masuk d saving kasih vitur tranfer qrisantar catat enak saving makan habis,positif
bagus,positif
mudah buka rekening transaksi mudah cepat,positif
jgn pakai debit sing potong mending pakai debit,negatif
the aplication is broken just trying to reset the pasword is complicated after reseting instead of loging in straight away you have to start from the begining and the facial recognition is unclear the aplication is broken,negatif
bagus,positif
god,positif
suka loading kalo buka blue,positif
baru banget baru bandwitnya banget kaya pindah page icon box load banget transaksi cepat pindah page kadang bikin sebel satset makan detik bikin cocok payment guna jga beda nyaman load jago seabank cnth kelas la atas load page gtu,positif
bagus,positif
ok praktis,positif
moga kali kecewa umur anak,positif
by rekening cair tring gadai yah,negatif
is the best,positif
gacor,positif
gabisa masuk qris dagang masuk rekening cairin uang gabisa masuk uninstal instal gabisa masuk tolong dong umkm tolong benar rekening,negatif
mantagf,positif
josjis debit pakai nama admin jos pol,positif
aktifin bagus designya,positif
puas,positif
bagus banget bru kali pakai,positif
minor bug chat whatsap ubah ikut instruksi eskalasi bluspending tutup moga lekas baik,negatif
mantep,positif
bagus banget,positif
beli beli kopken pakai promo blue promo pakai bayar pakai promo tentu ikut buruk banget,negatif
admin tolong bantu aktif akun instal pasu nomor hp daftar lupa daftar pakai nomor hp akun tahun of aktif promo bagus bagus teman tolong bantu yah terimakasih,positif
god,positif
klo qr unlimited usaha bagus dantranfer btn slalu gagal tolong baik kendala terimakasih,positif
ok,positif
bagus mudah fitur,positif
promo rewards tahan,positif
ok,positif
mudah cepat,positif
ok,positif
mudah transaksi,positif
satusatunya ewalet nominal uang sampe tulis keujungujungnya angka ujung buruk rusak kelola uang orang orang bersih saldo bersih garagara nominal ujung knpa dana gopay ovo seabank dl tuh embelembel bgtu,negatif
bagus,positif
ok banget interfacenya simple fiturnya tetep lengkap kalo bikin gila dikit,positif
god work,positif
td gampang d buka skarnk eror,positif
ok,positif
bantu flexible pakai,positif
bagus,positif
bantu,positif
god,positif
ok,positif
cinta mati,positif
baru mantul,positif
jos,positif
blue ok,positif
terimakasih depan,positif
bunga deposito pdhal royal benefitnya pakai kl nasabah tingal daerah lokasi merchant dki,positif
tolong adain fitur mark al as read notifikasi,negatif
bagus banget kirim uang sinpel banget pakai ribet,positif
tolol banget verifikasi muka sulit,negatif
mudah proses sukses,positif
goid produk,positif
baik,positif
bayar mudah,positif
dah butuh buka transaksi apa lancar,positif
bagus cepat,positif
recomended,positif
simple,positif
ok,positif
bagus,positif
ok,positif
lumayan bagusoalnya fitur transaksi ewalet dana gopay ovo dl proses cepat ribet terima kasih,positif
mantap,positif
nyoba transaksi pakai bagus lancar kendala moga terus aman aman,positif
bagus,positif
pakai bagus,positif
verifikasi rumit isi angap non aktif ucap a detik coba x time out,negatif
bagus,positif
enak,positif
oke,positif
mudah,positif
bantu by transfer lancar n batas tarik tunai atm bantu sekalitrims,positif
tabung aman,positif
ok,positif
