content,score,at,thumbsUpCount,replyContent,final_content,tokens_stemmed
"lemot banget,loding parah,perbaikin sistemnya biar ga loding parah",2,2026-05-16 12:46:24,0,"Hai, Kak Wulan. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil atau Kakak boleh switch jaringan pada handphone.",lambat bangetloding parahperbaikin sistem biar loding buruk,"['lambat', 'bangetloding', 'parahperbaikin', 'sistem', 'biar', 'loding', 'buruk']"
"Mantap, sering Promo di kopken",5,2026-05-16 11:42:40,0,"Hai, Kak Maikel. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus promo kopken,"['bagus', 'promo', 'kopken']"
pinjaman dana veripikasi nya lama terus di tolak udah gitu di sarankan pengajuan 3 bulan lagi padahal cuman tes aja padahal saldo sama pinjaman besaran saldo. kalau ga niat ngasih janggan buat program pinjaman kasihan orang yang butuh,1,2026-05-16 10:42:44,0,"Hai, Kak Hudan. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Terkait hal tersebut merupakan hasil analisa data-data yang Kakak miliki pada Bank BCA Digital serta sudah menjadi kebijakan bank dalam memberikan pinjaman, Kakak dapat ajukan kembali setelah 90 hari sejak pengajuan ditolak ya.",pinjam dana veripikasi tolak gitu saran aju cuman tes saldo pinjam besar saldo niat ngasih jangan program pinjam kasihan orang butuh,"['pinjam', 'dana', 'veripikasi', 'tolak', 'gitu', 'saran', 'aju', 'cuman', 'tes', 'saldo', 'pinjam', 'besar', 'saldo', 'niat', 'ngasih', 'jangan', 'program', 'pinjam', 'kasihan', 'orang', 'butuh']"
"ok lancar pertama make,gratis top up /tf nya d banyakin dong",5,2026-05-16 09:02:37,0,"Hai, Kak Atep. Maaf atas ketidaknyamanannya. Terima kasih atas saran dan masukan yang diberikan, kami akan selalu memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Jika ada hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",ok lancar makegratis bagus up tf d banyakin,"['ok', 'lancar', 'makegratis', 'bagus', 'up', 'tf', 'd', 'banyakin']"
terima kasih dengan layanan yg memuaskan,1,2026-05-15 23:08:07,0,"Hai, Kak Muhamad. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",terima kasih layan muas,"['terima', 'kasih', 'layan', 'muas']"
sangat jelek dan susah buat acc nya,1,2026-05-15 21:54:58,0,"Hai, Kak Mochamad. Maaf atas ketidaknyamanannya. blu ingin memahami lebih lanjut kendala yang Kakak alami agar bisa kami tindaklanjuti secepatnya. Mohon kesediaannya untuk menghubungi kami di 1500668, ya. Tim kami siap bantu secara langsung.",buruk susah ac,"['buruk', 'susah', 'ac']"
"kenapa pas daftar disuruh isi Nik padahal biasanya daftar rekening di bank gak sampe segitunya, EMG ko ya",1,2026-05-15 19:48:57,0,Hai Kak Adi. Mohon maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Terkait pengisian NIK saat pendaftaran akun blu merupakan syarat wajib bagi seluruh bank di Indonesia. Hal ini merupakan standar aturan resmi dari Otoritas Jasa Keuangan (OJK) dan Bank Indonesia ya.,pas daftar suruh isi nik daftar rekening sampe segitunya emg ko,"['pas', 'daftar', 'suruh', 'isi', 'nik', 'daftar', 'rekening', 'sampe', 'segitunya', 'emg', 'ko']"
sukakkkk so far gapernah ada problem sih. cara buka akunnya juga gampang bangett,5,2026-05-15 19:02:13,0,"Hai, Kak hasna. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",sukak so far gapernah problem sih buka akun gampang banget,"['sukak', 'so', 'far', 'gapernah', 'problem', 'sih', 'buka', 'akun', 'gampang', 'banget']"
"mantep bngt lah,AQ pke blu Krn super praktis pake m banking tnpa mahal biaya admin bulanan atau mngkin belom.tp so far memudahkan bngt,terima transferan besar jg jdi aman lah punya blu.nrima transfer bisa 50jt tp untuk TF keluar lngsung 50jt GK bisa musti maximal 20jt,udah nyobain soalnya.anyway AQ tau blu dri adek ku.bisa m banking ada kartunya pula.mantep bngt pokoknya.",5,2026-05-15 18:52:47,0,"Hai, Kak Veronica. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",mantep banget lahaq pakai super praktis pakai m banking tnpa mahal biaya admin bulan mngkin belomtp so far mudah bngterima transfer jg aman blunrima transfer jt tf lngsung jt musti maximal jtudah nyobain soalnyanyway aq tau dri adek bisa m banking kartu pulamantep banget pokok,"['mantep', 'banget', 'lahaq', 'pakai', 'super', 'praktis', 'pakai', 'm', 'banking', 'tnpa', 'mahal', 'biaya', 'admin', 'bulan', 'mngkin', 'belomtp', 'so', 'far', 'mudah', 'bngterima', 'transfer', 'jg', 'aman', 'blunrima', 'transfer', 'jt', 'tf', 'lngsung', 'jt', 'musti', 'maximal', 'jtudah', 'nyobain', 'soalnyanyway', 'aq', 'tau', 'dri', 'adek', 'bisa', 'm', 'banking', 'kartu', 'pulamantep', 'banget', 'pokok']"
useful and helpful,5,2026-05-15 18:03:50,0,"Hai, Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",useful and helpful,"['useful', 'and', 'helpful']"
mantab bagus,5,2026-05-15 17:47:33,0,"Hai, Kak Halim. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus bagus,"['bagus', 'bagus']"
"Ga salah pakai blu, emang joss..",5,2026-05-15 17:14:46,0,"Hai, Kak Andri. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",salah pakai emang jos,"['salah', 'pakai', 'emang', 'jos']"
paling mantap,5,2026-05-15 15:23:48,0,"Hai, Kak Nur. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus,['bagus']
sangat baik dan amanah,5,2026-05-15 15:10:09,0,"Hai, Kak Eki. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",amanah,['amanah']
bagus enakk tampilan nya,5,2026-05-15 14:35:00,0,"Hai, Kak Jubaedah. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus enak tampil,"['bagus', 'enak', 'tampil']"
mantap pakai blu bca,5,2026-05-15 12:49:20,0,"Hai, Kak Siska. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus pakai,"['bagus', 'pakai']"
Mantap bisa setor tunai bebas admin 2x lewat mesin BCA,5,2026-05-15 11:59:55,0,"Hai, Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus setor tunai bebas admin x mesin,"['bagus', 'setor', 'tunai', 'bebas', 'admin', 'x', 'mesin']"
"coba untuk tarik tunai dan setor tunai bisa di indomaret gitu kek agar memudahkan kami setor/tarik tunai. jangan apa2 mesin atm, trs jg itu mesin atm khusus banget utk atm bca, ga bsa atm yg lain adeh.",1,2026-05-15 10:26:29,0,"Hai, Kakak. Maaf atas ketidaknyamanannya. Terima kasih atas saran dan masukan yang diberikan, kami akan selalu memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu, Kakak bisa tarik tunai di ATM bank lain dengan kartu debit blu. Jika ada yang ingin ditanyakan, Kakak bisa menghubungi X @haloblu atau telepon 1500668 (layanan 24 jam).",coba tarik tunai setor tunai indomaret gitu kek mudah setortarik tunai mesin atm jg mesin atm khusus banget atm atm adeh,"['coba', 'tarik', 'tunai', 'setor', 'tunai', 'indomaret', 'gitu', 'kek', 'mudah', 'setortarik', 'tunai', 'mesin', 'atm', 'jg', 'mesin', 'atm', 'khusus', 'banget', 'atm', 'atm', 'adeh']"
lemot banget mau daftar aja susah ngulang terus,2,2026-05-15 08:17:57,0,"Hai, Kakak. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",lambat banget daftar susah ngulang,"['lambat', 'banget', 'daftar', 'susah', 'ngulang']"
"Keseelll bangeet baru mau pakee aplikasi ini lagii,, verifikasinyaa superrr lamaaa bangeeet.. gagal terusss padahal mau masuk akun sendiri ... ribeeeet bangeeet 1 jam loh mau verifikasi doang,, udh gitu harus telpon cs pake pulsa jugaaa ,,, setelah baca ulasan nya, banyaaak yg ngerasain tapii ga da PERUBAHAN yaaa.. KALAU ENGGA KARNA BLI BLI SAYA GA MAU PAKE APLIKASI INIII",1,2026-05-15 07:26:21,1,"Hai, Kak Fitri. Maaf atas ketidaknyamanannya. Kakak bisa menghubungi layanan haloblu 1500668 di aplikasi haloBCA agar tidak dikenakan biaya pulsa. Terkait kendala yang Kakak alami, boleh kirimkan tampilan gambar kendalanya ke DM X @haloblu agar kami bisa infokan lebih lanjut ya.",kesel banget pake lagi verifikasinya super lama banget gagal terus masuk akun ribet banget jam loh verifikasi doang gitu telpon cs pakai pulsa juga baca ulas banyak ngerasain tapi da ubah ya bli bli pakai ini,"['kesel', 'banget', 'pake', 'lagi', 'verifikasinya', 'super', 'lama', 'banget', 'gagal', 'terus', 'masuk', 'akun', 'ribet', 'banget', 'jam', 'loh', 'verifikasi', 'doang', 'gitu', 'telpon', 'cs', 'pakai', 'pulsa', 'juga', 'baca', 'ulas', 'banyak', 'ngerasain', 'tapi', 'da', 'ubah', 'ya', 'bli', 'bli', 'pakai', 'ini']"
"aplikasi lemot saat QRIS, tampilan UI hadeeeuh...ampun kaya anak magang yg create",2,2026-05-15 01:09:15,0,"Hai, Kak Ryan. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",lambat qris tampil ui hadeuhampun kaya anak magang create,"['lambat', 'qris', 'tampil', 'ui', 'hadeuhampun', 'kaya', 'anak', 'magang', 'create']"
"Dompet digital favorit ke 4 setelah si oren, kuning dan hijau. Bisa tarik tunai di bca meskipun terbatas, gratis transfer lewat bifast beberapa kali, pokoknya top. fitur yang terbaik adalah fitur bluSaving bisa bikin banyak dan bisa tentukan nominal yang harus dikumpul. Saran lebih bisa kustomisasi untuk icon atau tambahkan gambar lainnya biar keren kayak si Jago hehe.",5,2026-05-15 00:59:27,0,"Hai, Kak Bagus. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",dompet favorit si oren kuning hijau tarik tunai batas gratis transfer bifast kali pokok bagus fitur baik fitur blusaving bikin tentu nominal kumpul saran kustomisasi icon tambah gambar biar bagus kayak si jago hehe,"['dompet', 'favorit', 'si', 'oren', 'kuning', 'hijau', 'tarik', 'tunai', 'batas', 'gratis', 'transfer', 'bifast', 'kali', 'pokok', 'bagus', 'fitur', 'baik', 'fitur', 'blusaving', 'bikin', 'tentu', 'nominal', 'kumpul', 'saran', 'kustomisasi', 'icon', 'tambah', 'gambar', 'biar', 'bagus', 'kayak', 'si', 'jago', 'hehe']"
Transaksi ke sesama BCA dan Bca Digital Gratis. Langka gangguan dari penyedia layanan.,5,2026-05-15 00:38:08,0,"Hai, Kak Benny. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",transaksi gratis langka gangu sedia layan,"['transaksi', 'gratis', 'langka', 'gangu', 'sedia', 'layan']"
mantap,5,2026-05-15 00:20:14,0,"Hai, Kak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus,['bagus']
"Plis, jangan lemot lemot aplikasinya, saya sebel tapi kasih bintang lima, biar developernya semangat",5,2026-05-14 22:25:16,0,"Hai, Kak Nia. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",plis lambat lambat aplikasi sebel kasih bintang biar developer semangat,"['plis', 'lambat', 'lambat', 'aplikasi', 'sebel', 'kasih', 'bintang', 'biar', 'developer', 'semangat']"
lancar jaya,5,2026-05-14 21:33:00,0,"Hai, Kak Jamil. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊
",lancar jaya,"['lancar', 'jaya']"
"pake blu BCA sangat memudahkan bertransaksi,gampang juga menggunakannya...pokoknya the best..👍",5,2026-05-14 14:09:22,0,"Hai, Kak Amanda. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",pakai mudah bertransaksigampang mengunakanyapokoknya the best,"['pakai', 'mudah', 'bertransaksigampang', 'mengunakanyapokoknya', 'the', 'best']"
bagus banget blue sangat membantu menjadi pembuka untuk finansial,5,2026-05-14 13:47:19,0,"Hai, Kak Alfaqihrizky. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",bagus banget blue bantu buka finansial,"['bagus', 'banget', 'blue', 'bantu', 'buka', 'finansial']"
jujur aku ini males bikin2 banyak akun tp karena infonya ada casback kenangan 40% kalau bayar pakai blu akhirnya isi dan bayar tp cashbacknya kok gada .,1,2026-05-14 11:57:20,0,"Hai, Kak Dila. Maaf atas ketidaknyamanannya. Jika Kakak sudah mengikuti syarat dan ketentuan promo namun cashback belum diterima, kami sarankan untuk menghubungi layanan haloblu di 1500668 atau melalui aplikasi haloBCA karena membutuhkan verifikasi data melalui telepon.",jujur males bikin akun info casback kenang bayar pakai isi bayar cashbacknya gada,"['jujur', 'males', 'bikin', 'akun', 'info', 'casback', 'kenang', 'bayar', 'pakai', 'isi', 'bayar', 'cashbacknya', 'gada']"
"aplikasi penipu, tarik tunai di atm uang tidak keluar tapi saldo terpotong",1,2026-05-14 08:52:55,0,"Hai, Kak Andreas. Maaf atas ketidaknyamanannya. Batas waktu tarik tunai tanpa kartu adalah 1 jam. Apabila dalam 1 jam Kakak tidak melakukan tarik tunai atau jika ada kendala saat transaksi selama status transaksi pending di aplikasi blu maka permintaan tarik tunai Kakak otomatis dibatalkan dan dana otomatis dikembalikan ke rekening Kakak.",tipu tarik tunai atm uang saldo potong,"['tipu', 'tarik', 'tunai', 'atm', 'uang', 'saldo', 'potong']"
"Transaksi mudah, praktis dan cepat.",5,2026-05-14 06:10:20,0,"Hai, Kak Sukiman. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",transaksi mudah praktis cepat,"['transaksi', 'mudah', 'praktis', 'cepat']"
snagat bagus,5,2026-05-13 19:24:07,0,"Hai, Kak Derol. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",snagat bagus,"['snagat', 'bagus']"
terima kasih kk..👍,5,2026-05-13 17:49:36,0,"Hai, Kak Edi. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",terima kasih k,"['terima', 'kasih', 'k']"
"sejauh ini oke, tp kadang lemot",4,2026-05-13 17:42:39,0,"Hai, Kak Septiana. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Pastikan Kakak menggunakan aplikasi blu versi terbaru, setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi ya.",oke kadang lambat,"['oke', 'kadang', 'lambat']"
sangat baikkkk,5,2026-05-13 16:34:00,0,"Hai, Kak Kalila asyahra. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).
",baik,['baik']
"mantap ada free transfernya, cocok yang dananya paspasan",5,2026-05-13 15:34:38,0,"Hai, Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊

",bagus fre transfer cocok dana paspasan,"['bagus', 'fre', 'transfer', 'cocok', 'dana', 'paspasan']"
"dpt penawaran pnjaman tp giliran pengajuan gak diacc lama2 hpus aj aplikasi ini, mnding shoopepay",2,2026-05-13 14:25:36,0,"Hai, Kak rafli wianto. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Terdapat hal yang dapat menyebabkan pengajuan pinjaman Kakak ditolak/dibatalkan, antara lain belum sesuai dengan kriteria debitur Bank BCA Digital Kak.",tawar pnjaman gilir aju diac hpus aj mnding shopepay,"['tawar', 'pnjaman', 'gilir', 'aju', 'diac', 'hpus', 'aj', 'mnding', 'shopepay']"
oke,5,2026-05-13 14:21:13,0,"Hai, Kak Astuti Wahyuningsih. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊
",oke,['oke']
